Opportunity ID,Sales Rep ID,Sales Rep Name,Region,Country,Contact Name,Customer Name,Cust ID,Opp Initiation Date,Opp Close Date,Opportunity Status,Opportunity Stage
OPP-60080,SR-2006,Derrick Maynard,Middle East,UAE,David Sexton,"Leblanc, Thompson and Sullivan",CUST-10343,2025-02-20,2025-07-24,On Hold,Prospecting
OPP-60081,SR-2064,Joseph Bryan,North America,UK,Amy Wilson,Bryant-Lawson,CUST-10966,2025-04-13,2025-07-08,Open,Prospecting
OPP-60082,SR-2088,Nicole Hammond,Europe,USA,Amber Miller,Owens-Hunt,CUST-10931,2025-01-17,2025-06-29,Lost,Proposal
OPP-60083,SR-2064,Charles Oneill,Middle East,USA,Charles Blackburn,Cannon-Calhoun,CUST-10138,2025-05-07,2025-04-19,Won,Negotiation
OPP-60084,SR-2002,Alan Adams,North America,USA,Daniel Jordan,Adkins-Frazier,CUST-10103,2025-03-16,2025-05-30,Open,Qualification
OPP-60085,SR-2050,Joshua Pope,Middle East,Brazil,Jamie Wilson,Morales Ltd,CUST-10488,2025-04-09,2025-05-17,Lost,Prospecting
OPP-60086,SR-2025,Courtney Robinson,Asia-Pacific,USA,Rachel Bryant,Taylor LLC,CUST-10600,2025-07-30,2025-04-14,Open,Prospecting
OPP-60087,SR-2095,Austin Evans,North America,Australia,Kayla Miller,Reyes-Gordon,CUST-10698,2025-05-04,2025-05-12,On Hold,Proposal
OPP-60088,SR-2013,James Smith,Asia-Pacific,Australia,Tracie Atkins,Chambers-Arnold,CUST-10868,2025-05-23,2025-08-02,Negotiation,Proposal
OPP-60089,SR-2071,Mary Peterson,North America,USA,Bernard Vega,"Rodriguez, Hill and Hopkins",CUST-10210,2025-02-21,2025-07-07,Open,Proposal
OPP-60090,SR-2040,Dustin Hendrix,Latin America,USA,Joshua Berry,"Fisher, Rose and Pineda",CUST-10474,2025-04-14,2025-01-06,On Hold,Closed Won
OPP-60091,SR-2006,Karen Moreno,Middle East,Australia,Michael Cole,Lewis-Patel,CUST-10883,2025-02-07,2025-08-20,Negotiation,Closed Won
OPP-60092,SR-2034,Luke Garrett,Latin America,Brazil,Danielle Moran,Davis Group,CUST-10907,2025-04-14,2025-05-01,Lost,Negotiation
OPP-60093,SR-2074,Charles Johnson,North America,India,Brooke Harvey,Thomas Ltd,CUST-10540,2025-06-20,2025-02-01,Lost,Closed Won
OPP-60094,SR-2044,Michael Price,Asia-Pacific,Australia,Ricardo Velez,"Singh, Porter and Moore",CUST-10008,2025-01-16,2025-03-08,Open,Qualification
OPP-60095,SR-2025,Brett Taylor,Middle East,Brazil,Joseph White,James Group,CUST-10309,2025-02-26,2025-02-04,Negotiation,Proposal
OPP-60096,SR-2070,Christina Meza,Middle East,Germany,Joshua Flores,"Harrell, Conway and Tucker",CUST-10796,2025-04-30,2025-05-12,Lost,Closed Won
OPP-60097,SR-2014,Dominic Torres,Latin America,India,Carl Berry,Anderson Ltd,CUST-10431,2025-07-31,2025-01-16,Negotiation,Proposal
OPP-60098,SR-2070,David Jones,North America,USA,Robert Beard,"Shepherd, Martinez and Hernandez",CUST-10603,2025-03-10,2025-08-28,Won,Prospecting
OPP-60099,SR-2034,Joseph Dalton,North America,Germany,Daniel Walker,"Rodriguez, Molina and Pena",CUST-10413,2025-05-14,2025-01-12,On Hold,Prospecting
OPP-60100,SR-2091,William Tate II,Europe,Brazil,Erica Rodriguez,Davis Ltd,CUST-10495,2025-05-14,2025-08-16,Won,Closed Won
OPP-60101,SR-2085,Frank Woodard,Middle East,USA,Tricia Tate,Meyer-Frazier,CUST-10938,2025-07-20,2025-05-17,Won,Closed Won
OPP-60102,SR-2078,Jason Brown,Middle East,Brazil,Douglas Grant,"Cox, Bradford and Trevino",CUST-10472,2025-02-23,2025-02-05,Lost,Prospecting
OPP-60103,SR-2041,Deborah Watson,Middle East,India,Joseph Melton,"Brown, Lynch and Ritter",CUST-10178,2025-02-01,2025-08-13,Lost,Prospecting
OPP-60104,SR-2030,Danielle Mcguire,North America,USA,Daniel Jordan,Davis Group,CUST-10187,2025-06-12,2025-08-27,On Hold,Negotiation
OPP-60105,SR-2045,Andrew Jones,Asia-Pacific,UAE,Ronald Alexander,Lee PLC,CUST-10117,2025-07-30,2025-03-26,On Hold,Qualification
OPP-60106,SR-2060,Rebecca Kim,Asia-Pacific,UAE,Dorothy Pitts,Whitney-Hernandez,CUST-10067,2025-07-31,2025-04-10,Lost,Closed Won
OPP-60107,SR-2015,Sydney Wilson,North America,India,Laura Ross,Brown-Mora,CUST-10451,2025-04-23,2025-01-25,Lost,Prospecting
OPP-60108,SR-2005,Philip Sanchez,Europe,India,Christopher Torres,Thomas Group,CUST-10909,2025-01-19,2025-01-21,Lost,Prospecting
OPP-60109,SR-2018,Timothy Miles,North America,UAE,Samuel Martin,"Waters, Dickson and Cox",CUST-10947,2025-04-24,2025-07-21,Won,Closed Won
OPP-60110,SR-2062,Natasha Butler,Latin America,UK,Mrs. Sarah West,Blake and Sons,CUST-10022,2025-06-24,2025-02-23,Lost,Closed Won
OPP-60111,SR-2027,Robert Edwards,North America,UAE,Kimberly Thompson,Rodriguez Group,CUST-10443,2025-06-04,2025-05-04,Lost,Prospecting
OPP-60112,SR-2036,Timothy Wyatt,North America,UK,Rachel Peterson,Carter Inc,CUST-10674,2025-05-08,2025-01-23,Negotiation,Proposal
OPP-60113,SR-2097,Dennis Clark,Asia-Pacific,India,Steven Johnston,Reid-Bowman,CUST-10821,2025-04-10,2025-02-06,Open,Prospecting
OPP-60114,SR-2098,Michael Jones,Middle East,India,Amber Brown,"Mills, Dawson and Conway",CUST-10185,2025-04-07,2025-05-14,Open,Prospecting
OPP-60115,SR-2040,Bruce Mitchell,Middle East,Australia,Larry Shannon,"Jones, Martinez and Evans",CUST-10315,2025-03-27,2025-06-11,On Hold,Proposal
OPP-60116,SR-2092,Zachary Rose,Europe,UAE,Linda Clark,"Brown, Lynch and Ritter",CUST-10139,2025-06-06,2025-06-10,Negotiation,Prospecting
OPP-60117,SR-2039,Evan Nichols,North America,USA,Robert Graham,Kemp Inc,CUST-10342,2025-02-07,2025-01-07,Open,Closed Won
OPP-60118,SR-2091,Robert Davis,North America,Australia,Matthew Carr,Mccoy Inc,CUST-10349,2025-06-15,2025-02-13,Open,Negotiation
OPP-60119,SR-2051,Ruben Perkins,Asia-Pacific,Germany,Christine Ashley,Case and Sons,CUST-10864,2025-03-21,2025-03-12,On Hold,Proposal
OPP-60120,SR-2080,Nicholas Adams,North America,India,Christine Miller,Harris-Walsh,CUST-10899,2025-04-20,2025-01-19,Negotiation,Negotiation
OPP-60121,SR-2027,David Chen,Middle East,Brazil,Ralph Thornton,"Hall, Davis and Butler",CUST-10202,2025-06-04,2025-01-28,Won,Prospecting
OPP-60122,SR-2049,Brenda Gonzalez,Asia-Pacific,India,Leah Weber,"Castro, Evans and Anderson",CUST-10597,2025-07-05,2025-04-09,Won,Prospecting
OPP-60123,SR-2045,Jenny Buck,Europe,India,Michael Williams,Johnson-Fitzgerald,CUST-10882,2025-02-09,2025-07-10,Negotiation,Negotiation
OPP-60124,SR-2047,Felicia Brady,North America,Australia,Pamela Watson,Stout PLC,CUST-10384,2025-05-14,2025-01-13,Lost,Qualification
OPP-60125,SR-2009,Daniel Ruiz,Middle East,India,Casey Rivera,"Aguirre, Jackson and Graves",CUST-10884,2025-07-26,2025-06-17,Won,Proposal
OPP-60126,SR-2077,Sarah Lindsey,Middle East,Brazil,Lynn Dodson,Evans LLC,CUST-10409,2025-08-11,2025-07-06,Lost,Closed Won
OPP-60127,SR-2041,James Beltran,Latin America,Australia,Michael Vance,"Moran, Smith and Martinez",CUST-10521,2025-03-16,2025-05-13,Won,Negotiation
OPP-60128,SR-2095,Kevin Petersen,Latin America,UAE,Angela Watson,"Morrison, Brown and Wilson",CUST-10776,2025-01-03,2025-02-02,Negotiation,Qualification
OPP-60129,SR-2057,Sheila Smith,North America,USA,Melanie Riddle,Steele Inc,CUST-10531,2025-03-10,2025-05-17,Lost,Prospecting
OPP-60130,SR-2019,Michael Cooley MD,North America,India,Alexandria Thompson,Mcguire and Sons,CUST-10533,2025-07-22,2025-06-16,Negotiation,Prospecting
OPP-60131,SR-2032,Michael Adams,Latin America,Australia,Brittany Miller,Moreno Group,CUST-10972,2025-03-29,2025-03-04,Open,Closed Won
OPP-60132,SR-2094,Jim Arnold,Europe,UAE,Jessica Rivera,Reynolds-Woods,CUST-10992,2025-02-14,2025-02-06,On Hold,Qualification
OPP-60133,SR-2029,Aaron Myers,Asia-Pacific,Australia,Leonard Jones,Christensen Ltd,CUST-10601,2025-06-23,2025-04-07,Negotiation,Qualification
OPP-60134,SR-2058,Joshua Holmes,Asia-Pacific,UK,Michelle Hoover,Wilkins-Moore,CUST-10173,2025-07-28,2025-01-04,Lost,Negotiation
OPP-60135,SR-2066,Trevor Collins,Asia-Pacific,Australia,Hannah Tucker,Mcintosh Inc,CUST-10124,2025-07-14,2025-04-03,Negotiation,Qualification
OPP-60136,SR-2036,Nicholas Davis,North America,Germany,Carol Adams,Dunn-Anderson,CUST-10014,2025-05-22,2025-06-30,On Hold,Prospecting
OPP-60137,SR-2057,Stephen Gonzales,Europe,India,Amy Oneal MD,Barker PLC,CUST-10334,2025-05-05,2025-02-12,Won,Negotiation
OPP-60138,SR-2074,Sarah Stephens,Middle East,Brazil,Luis Mathews,"Haynes, Evans and Hardin",CUST-10538,2025-06-11,2025-05-09,Won,Qualification
OPP-60139,SR-2067,Mary Hamilton,Latin America,USA,Joseph Fitzgerald,James Group,CUST-10267,2025-02-22,2025-02-04,On Hold,Negotiation
OPP-60140,SR-2029,Lisa Graham,Middle East,Australia,Rachel Hunter,Castillo and Sons,CUST-10732,2025-01-15,2025-02-06,On Hold,Negotiation
OPP-60141,SR-2023,Toni Lee,Latin America,USA,Katherine Rios MD,"Thomas, Mcdonald and Miller",CUST-10069,2025-01-20,2025-05-15,Negotiation,Closed Won
OPP-60142,SR-2068,Shannon Ross,Europe,UK,Lindsey Downs,"Cohen, Williams and Mullins",CUST-10878,2025-06-25,2025-02-22,Open,Closed Won
OPP-60143,SR-2053,Melissa Roman,North America,Germany,Brian Cruz,Bennett-Vasquez,CUST-10918,2025-06-27,2025-02-05,Won,Qualification
OPP-60144,SR-2054,Misty Patton,Asia-Pacific,UK,Heather Howell,"Beard, Cox and Nguyen",CUST-10638,2025-06-10,2025-05-13,Negotiation,Proposal
OPP-60145,SR-2093,Howard Johnson,Middle East,Germany,Veronica Morris,Morris-Murphy,CUST-10890,2025-04-24,2025-06-02,Won,Proposal
OPP-60146,SR-2041,Randall Griffin,Asia-Pacific,Germany,Brittany Bradshaw,Poole-Kelley,CUST-10069,2025-08-24,2025-03-07,Negotiation,Negotiation
OPP-60147,SR-2090,Sharon Davenport,Middle East,UAE,Carla Newman,"Weber, Lynch and Little",CUST-10241,2025-02-20,2025-08-11,On Hold,Qualification
OPP-60148,SR-2074,Abigail Jones,Europe,UK,Margaret Stafford,Austin-Davies,CUST-10269,2025-01-04,2025-02-28,On Hold,Prospecting
OPP-60149,SR-2022,Penny Williams,Europe,Germany,Anthony Hunt,Lindsey LLC,CUST-10632,2025-01-04,2025-05-01,Open,Negotiation
OPP-60150,SR-2059,Curtis Mcdonald,Latin America,India,Jody Walton,"Jones, Martinez and Evans",CUST-10190,2025-02-03,2025-01-22,Won,Qualification
OPP-60151,SR-2028,Maria Nelson,Latin America,Brazil,John Fitzpatrick,Wright-Shaw,CUST-10646,2025-08-12,2025-03-02,Lost,Negotiation
OPP-60152,SR-2017,Kristen Miller,Asia-Pacific,UAE,Kevin Chen,Brown LLC,CUST-10489,2025-05-09,2025-06-10,Open,Closed Won
OPP-60153,SR-2071,Danielle Gonzalez,Latin America,Australia,Holly Murray,Barnes PLC,CUST-10953,2025-03-04,2025-03-03,On Hold,Negotiation
OPP-60154,SR-2024,Paul Mcgee,Middle East,Australia,Erik Shaw,"Stevens, Rodriguez and Long",CUST-10032,2025-07-05,2025-04-03,Won,Proposal
OPP-60155,SR-2043,Susan Collins,North America,Australia,Victor Ryan,Welch LLC,CUST-10098,2025-07-27,2025-05-25,Lost,Negotiation
OPP-60156,SR-2034,Kylie Rogers,Latin America,USA,Kyle Robinson,Owens Group,CUST-10906,2025-08-04,2025-07-23,Open,Negotiation
OPP-60157,SR-2064,Marie Curtis,North America,India,David Taylor,"Martin, Stevenson and Meadows",CUST-10729,2025-07-21,2025-03-07,Won,Closed Won
OPP-60158,SR-2066,Bailey Robinson,Europe,USA,Ryan Jimenez,Martinez-Clark,CUST-10345,2025-07-02,2025-02-18,Negotiation,Negotiation
OPP-60159,SR-2020,Arthur Williams,Europe,UAE,Marc Sellers,Ibarra Ltd,CUST-10140,2025-06-18,2025-04-17,Won,Closed Won
OPP-60160,SR-2003,Regina Scott MD,Europe,UAE,Christine Alexander,"Gonzalez, Davis and Bonilla",CUST-10656,2025-03-07,2025-02-10,Won,Closed Won
OPP-60161,SR-2097,Kimberly Brown,Latin America,India,Sydney Black,Torres Ltd,CUST-10826,2025-03-03,2025-04-17,Won,Negotiation
OPP-60162,SR-2092,Christine Collins,Europe,UK,Mark Hunt,Harris-Harris,CUST-10983,2025-02-04,2025-03-31,Lost,Proposal
OPP-60163,SR-2097,Sarah Mcneil,North America,USA,Kathy Richmond,"Hughes, Watts and Arnold",CUST-10565,2025-02-12,2025-03-22,On Hold,Negotiation
OPP-60164,SR-2086,Chloe Thompson,North America,Brazil,Taylor Harris,Morris-Mcclain,CUST-10787,2025-08-04,2025-04-22,On Hold,Qualification
OPP-60165,SR-2018,Donald Callahan,Asia-Pacific,UAE,Jamie Gordon,York-Ross,CUST-10857,2025-08-16,2025-07-01,Lost,Closed Won
OPP-60166,SR-2089,Laurie Wall,Europe,India,Daniel Gordon,Gomez-Wallace,CUST-10734,2025-03-23,2025-08-19,Lost,Qualification
OPP-60167,SR-2092,Karen Flores,North America,Brazil,Vickie Taylor,"Medina, Lucas and Johnson",CUST-10835,2025-03-12,2025-01-19,Negotiation,Qualification
OPP-60168,SR-2079,Drew Hunter,Middle East,USA,Erica Dorsey,"Thomas, Smith and Cook",CUST-10958,2025-04-06,2025-04-19,Open,Proposal
OPP-60169,SR-2021,Tiffany Baker,Middle East,UK,Allison Higgins,Hodge Ltd,CUST-10124,2025-07-10,2025-02-18,Lost,Proposal
OPP-60170,SR-2032,Joseph Mullins,Asia-Pacific,USA,David Carter,Miller-Perez,CUST-10451,2025-03-28,2025-06-27,Lost,Qualification
OPP-60171,SR-2018,Curtis Brooks,Middle East,Australia,Kyle Rose,Simpson PLC,CUST-10323,2025-06-01,2025-02-09,Lost,Qualification
OPP-60172,SR-2054,Anthony Aguirre,North America,India,Charles Griffith,Fernandez PLC,CUST-10130,2025-07-24,2025-03-15,Open,Negotiation
OPP-60173,SR-2052,James Ayala,Asia-Pacific,Brazil,James Simmons,Chung-Harrington,CUST-10160,2025-06-10,2025-03-20,Lost,Negotiation
OPP-60174,SR-2097,Kelli Campbell,North America,India,Samantha Logan,Roberts-Chase,CUST-10409,2025-03-07,2025-02-19,Open,Qualification
