Customer Session ID,Contact Name,Website Section,Content_Click,Demo Request,Enquiry Submission Flag,Session Login Time,Session Log Out Time,Cmgn ID
SES-91079,Lisa Lewis,Pricing,Blog Post,No,Yes,2025-08-05 06:15:00,2025-06-27 18:45:00,CMP-20096
SES-91080,Nathan Sanchez,Product Page,Case Study,Yes,No,2025-04-10 16:15:00,2025-04-11 15:45:00,CMP-20232
SES-91081,Brooke Carpenter,Pricing,Whitepaper,Yes,No,2025-07-09 04:15:00,2025-05-06 16:30:00,CMP-20232
SES-91082,Stephen Bruce,Home,Case Study,No,No,2025-01-04 23:15:00,2025-05-31 03:15:00,CMP-20259
SES-91083,Ian Thomas,Blog,Datasheet,Yes,No,2025-05-05 12:45:00,2025-02-23 10:30:00,CMP-20796
SES-91084,Cynthia Hooper,Product Page,Datasheet,Yes,No,2025-05-09 02:45:00,2025-04-30 09:45:00,CMP-20839
SES-91085,Lisa Rose,Blog,Case Study,No,Yes,2025-03-27 15:15:00,2025-08-17 00:30:00,CMP-20839
SES-91086,Hannah Walker,Product Page,Blog Post,Yes,Yes,2025-06-26 08:30:00,2025-05-31 08:00:00,CMP-20788
SES-91087,Morgan Richardson,Pricing,Blog Post,No,No,2025-04-29 06:45:00,2025-06-14 10:45:00,CMP-20196
SES-91088,Jerry Chavez,Blog,Case Study,No,No,2025-06-30 02:00:00,2025-06-16 14:45:00,CMP-20200
SES-91089,Mark Knapp,Pricing,Blog Post,Yes,Yes,2025-01-16 19:45:00,2025-07-05 06:00:00,CMP-20256
SES-91090,Donna Hansen,Product Page,Blog Post,No,No,2025-01-14 18:45:00,2025-05-06 19:30:00,CMP-20476
SES-91091,Paul Casey,Pricing,Video Demo,Yes,Yes,2025-07-11 11:45:00,2025-04-15 02:30:00,CMP-20240
SES-91092,Jessica Sullivan,Home,Video Demo,Yes,Yes,2025-02-09 04:30:00,2025-05-19 12:30:00,CMP-20281
SES-91093,Mrs. Lisa Bailey DVM,Support,Case Study,No,Yes,2025-06-23 06:00:00,2025-05-08 16:45:00,CMP-20823
SES-91094,Marissa Boyer,Blog,Video Demo,Yes,Yes,2025-06-25 18:30:00,2025-01-30 14:30:00,CMP-20567
SES-91095,Sharon Massey,Blog,Video Demo,Yes,Yes,2025-05-26 23:45:00,2025-04-18 20:15:00,CMP-20443
SES-91096,Kristin Baker,Support,Whitepaper,Yes,No,2025-02-21 05:30:00,2025-07-25 15:30:00,CMP-20906
SES-91097,Cynthia Bowman,Blog,Video Demo,Yes,No,2025-08-08 19:30:00,2025-01-18 05:45:00,CMP-20026
SES-91098,Jesus Ross,Blog,Whitepaper,Yes,No,2025-08-12 13:00:00,2025-05-07 16:30:00,CMP-20170
SES-91099,Justin Robinson,Product Page,Whitepaper,Yes,No,2025-06-13 11:15:00,2025-05-17 08:00:00,CMP-20796
SES-91100,Erin Johnson,Support,Blog Post,Yes,Yes,2025-01-01 02:30:00,2025-03-25 23:00:00,CMP-20771
SES-91101,Donald Bauer,Pricing,Blog Post,Yes,No,2025-03-11 19:30:00,2025-06-18 14:45:00,CMP-20628
SES-91102,Mary Reynolds,Home,Whitepaper,Yes,No,2025-01-05 09:30:00,2025-03-15 10:45:00,CMP-20984
SES-91103,Kevin Gibson,Pricing,Blog Post,Yes,Yes,2025-07-18 01:30:00,2025-01-21 19:00:00,CMP-20537
SES-91104,Anthony Booker,Home,Datasheet,Yes,No,2025-04-12 19:15:00,2025-02-28 11:30:00,CMP-20254
SES-91105,Savannah Hill,Support,Blog Post,No,No,2025-08-20 00:15:00,2025-03-04 03:45:00,CMP-20093
SES-91106,Priscilla Pope,Home,Blog Post,No,No,2025-04-28 11:45:00,2025-02-20 14:30:00,CMP-20633
SES-91107,Lauren Cole,Blog,Blog Post,No,No,2025-06-16 15:45:00,2025-01-25 22:45:00,CMP-21000
SES-91108,Michael Solis,Blog,Video Demo,No,Yes,2025-01-27 13:00:00,2025-08-22 16:15:00,CMP-20214
SES-91109,Amy Caldwell,Home,Whitepaper,No,No,2025-05-19 01:15:00,2025-04-26 01:45:00,CMP-20259
SES-91110,Peter Smith Jr.,Support,Blog Post,Yes,No,2025-08-09 14:30:00,2025-05-17 05:00:00,CMP-20709
SES-91111,Robert Simon,Pricing,Datasheet,Yes,Yes,2025-07-08 03:15:00,2025-08-19 16:15:00,CMP-20153
SES-91112,Sharon Montoya,Product Page,Whitepaper,Yes,No,2025-05-05 04:30:00,2025-06-05 06:00:00,CMP-20894
SES-91113,Tim Buchanan,Pricing,Datasheet,No,No,2025-05-09 12:45:00,2025-07-31 07:30:00,CMP-20686
SES-91114,Amber Ramos,Support,Video Demo,No,Yes,2025-04-01 16:30:00,2025-05-26 09:30:00,CMP-20814
SES-91115,Ashley Jones,Pricing,Case Study,No,No,2025-04-13 18:15:00,2025-04-01 03:30:00,CMP-20075
SES-91116,David Ellis,Support,Blog Post,No,Yes,2025-06-12 06:30:00,2025-02-28 18:45:00,CMP-20630
SES-91117,Roy Johnson,Home,Case Study,Yes,No,2025-07-14 03:30:00,2025-06-19 21:30:00,CMP-20926
SES-91118,Kimberly Salazar,Pricing,Datasheet,Yes,Yes,2025-08-17 04:45:00,2025-07-17 08:00:00,CMP-20815
SES-91119,Kristy Martin,Product Page,Whitepaper,No,Yes,2025-01-08 19:45:00,2025-04-08 01:45:00,CMP-20996
SES-91120,Maria Gordon,Home,Datasheet,No,No,2025-03-17 20:00:00,2025-03-25 08:00:00,CMP-20045
SES-91121,Mary Rowe,Blog,Video Demo,No,Yes,2025-07-01 11:30:00,2025-04-29 19:30:00,CMP-20802
SES-91122,Carly Kirk,Blog,Whitepaper,Yes,No,2025-01-15 19:15:00,2025-03-20 23:30:00,CMP-20021
SES-91123,Mark Williams,Product Page,Video Demo,No,No,2025-01-17 11:30:00,2025-02-23 17:30:00,CMP-20348
SES-91124,David Marquez,Pricing,Blog Post,No,Yes,2025-04-10 04:00:00,2025-02-27 02:00:00,CMP-20962
SES-91125,Drew White,Support,Case Study,Yes,Yes,2025-02-26 00:30:00,2025-08-25 01:30:00,CMP-20020
SES-91126,Rhonda Hicks,Blog,Blog Post,No,No,2025-07-26 05:30:00,2025-07-11 15:15:00,CMP-20408
SES-91127,Devin Donaldson,Support,Video Demo,No,No,2025-07-31 00:30:00,2025-04-28 17:30:00,CMP-20263
SES-91128,Candice Washington,Pricing,Whitepaper,No,Yes,2025-04-09 00:00:00,2025-02-04 17:15:00,CMP-20593
SES-91129,Rebecca Cunningham,Home,Blog Post,Yes,No,2025-07-21 23:00:00,2025-07-08 00:30:00,CMP-20724
SES-91130,Brandon West,Pricing,Video Demo,Yes,Yes,2025-06-11 22:45:00,2025-03-27 15:45:00,CMP-20265
SES-91131,David Cummings,Blog,Datasheet,No,Yes,2025-06-23 03:30:00,2025-03-04 07:00:00,CMP-20417
SES-91132,Sue Daugherty,Support,Datasheet,No,No,2025-05-22 10:45:00,2025-04-18 13:15:00,CMP-20518
SES-91133,Linda Hall,Home,Whitepaper,Yes,No,2025-05-10 19:45:00,2025-07-15 12:45:00,CMP-20193
SES-91134,Brittney Ortiz,Home,Datasheet,Yes,No,2025-05-17 22:30:00,2025-06-21 15:45:00,CMP-20352
SES-91135,Vickie Simmons,Pricing,Datasheet,Yes,Yes,2025-08-13 15:45:00,2025-07-13 12:30:00,CMP-20338
SES-91136,Pamela Jones,Product Page,Video Demo,Yes,No,2025-03-01 06:45:00,2025-02-16 11:00:00,CMP-20190
SES-91137,Tracy Burns,Product Page,Whitepaper,No,Yes,2025-06-28 13:15:00,2025-07-01 04:00:00,CMP-20920
SES-91138,Phillip Parks,Blog,Datasheet,Yes,Yes,2025-04-13 09:15:00,2025-02-03 04:00:00,CMP-20754
SES-91139,Katherine Clark,Blog,Case Study,Yes,Yes,2025-01-10 07:00:00,2025-04-25 14:30:00,CMP-20761
SES-91140,Jonathan Chambers,Support,Datasheet,Yes,Yes,2025-04-25 10:15:00,2025-01-03 06:45:00,CMP-20532
SES-91141,James Golden Jr.,Blog,Blog Post,Yes,Yes,2025-06-22 06:00:00,2025-05-03 22:45:00,CMP-20857
SES-91142,Amanda Harris,Blog,Datasheet,Yes,No,2025-04-14 07:00:00,2025-02-04 15:00:00,CMP-20515
SES-91143,Danielle Martin,Product Page,Whitepaper,No,Yes,2025-03-10 05:00:00,2025-01-14 01:00:00,CMP-20920
SES-91144,Jasmin Miller,Support,Whitepaper,Yes,No,2025-08-28 12:00:00,2025-08-28 17:00:00,CMP-20952
SES-91145,Jennifer Glenn,Support,Blog Post,No,No,2025-07-12 17:45:00,2025-02-11 18:45:00,CMP-20465
SES-91146,Jeffrey Randall,Product Page,Blog Post,No,Yes,2025-05-08 01:30:00,2025-02-26 08:15:00,CMP-20114
SES-91147,Antonio Bell,Product Page,Case Study,Yes,No,2025-08-06 01:30:00,2025-03-19 15:45:00,CMP-20002
SES-91148,Louis Cooper,Product Page,Blog Post,No,No,2025-05-27 13:30:00,2025-02-03 23:30:00,CMP-20252
SES-91149,Monica Berger,Pricing,Datasheet,Yes,Yes,2025-01-21 20:15:00,2025-07-20 12:45:00,CMP-20182
SES-91150,Kara Harris MD,Pricing,Datasheet,Yes,Yes,2025-06-13 09:45:00,2025-06-21 14:45:00,CMP-20450
SES-91151,Crystal Mcconnell,Pricing,Video Demo,No,Yes,2025-07-14 19:00:00,2025-02-18 08:00:00,CMP-20871
SES-91152,Susan Thomas,Pricing,Blog Post,No,No,2025-05-23 08:15:00,2025-04-17 14:00:00,CMP-20885
SES-91153,Heather James,Support,Video Demo,Yes,No,2025-04-01 17:00:00,2025-01-30 20:15:00,CMP-20538
SES-91154,Anthony Williams,Product Page,Whitepaper,No,No,2025-04-07 15:45:00,2025-01-16 20:00:00,CMP-20034
SES-91155,Connor Brooks,Home,Case Study,Yes,No,2025-04-28 19:15:00,2025-03-02 06:00:00,CMP-20998
SES-91156,Christopher Reeves,Pricing,Video Demo,No,Yes,2025-08-26 09:45:00,2025-02-22 07:30:00,CMP-20552
SES-91157,Rita Bailey,Pricing,Blog Post,No,No,2025-03-03 22:00:00,2025-02-14 04:15:00,CMP-20927
SES-91158,Devin Hardy,Home,Video Demo,No,No,2025-07-12 10:00:00,2025-08-01 02:00:00,CMP-20346
SES-91159,Darius Hickman,Blog,Video Demo,Yes,No,2025-01-02 08:00:00,2025-05-16 18:45:00,CMP-20832
SES-91160,Abigail Martin,Support,Case Study,No,Yes,2025-05-20 06:45:00,2025-04-03 19:30:00,CMP-20941
SES-91161,Victoria Gibson,Home,Video Demo,Yes,Yes,2025-06-22 01:15:00,2025-07-12 17:15:00,CMP-20608
SES-91162,John Jacobs,Home,Blog Post,No,No,2025-05-17 04:00:00,2025-04-23 05:15:00,CMP-20384
SES-91163,Jessica Wright,Home,Video Demo,No,Yes,2025-07-28 01:00:00,2025-04-23 04:30:00,CMP-20169
SES-91164,Gregory Griffith,Product Page,Blog Post,No,Yes,2025-03-13 00:15:00,2025-01-20 19:00:00,CMP-20915
SES-91165,Jonathan Rivers,Blog,Case Study,Yes,Yes,2025-06-11 11:30:00,2025-06-25 02:00:00,CMP-20005
SES-91166,Patricia Hall,Pricing,Datasheet,Yes,Yes,2025-04-02 09:45:00,2025-01-30 15:30:00,CMP-20129
SES-91167,Veronica Gilbert,Home,Video Demo,Yes,Yes,2025-08-21 10:30:00,2025-05-17 21:45:00,CMP-20923
SES-91168,Justin Alvarado,Support,Case Study,Yes,No,2025-07-25 14:15:00,2025-01-11 15:45:00,CMP-20780
SES-91169,Amy Hicks,Home,Case Study,No,No,2025-04-08 22:45:00,2025-04-06 10:15:00,CMP-20502
SES-91170,Joseph Hendricks,Pricing,Datasheet,No,No,2025-05-15 18:00:00,2025-05-24 09:45:00,CMP-20677
SES-91171,Lawrence Vaughan,Pricing,Whitepaper,Yes,No,2025-02-24 01:30:00,2025-08-15 00:15:00,CMP-20857
SES-91172,Joyce Harris,Support,Whitepaper,No,Yes,2025-07-04 15:30:00,2025-04-05 13:30:00,CMP-20267
SES-91173,Andrew Ayala,Support,Blog Post,No,No,2025-08-13 18:45:00,2025-04-25 15:00:00,CMP-20957
SES-91174,Brittany Smith,Support,Blog Post,Yes,Yes,2025-03-09 17:15:00,2025-08-16 14:15:00,CMP-20015
SES-91175,Erica Luna,Product Page,Datasheet,Yes,Yes,2025-05-17 20:15:00,2025-06-19 08:30:00,CMP-20163
SES-91176,James Roberts,Blog,Case Study,No,No,2025-01-27 07:15:00,2025-05-18 07:00:00,CMP-20945
SES-91177,Lawrence George,Product Page,Blog Post,No,No,2025-04-28 03:30:00,2025-01-01 16:30:00,CMP-20606
SES-91178,Amanda Jones,Blog,Blog Post,Yes,No,2025-08-08 14:45:00,2025-08-14 06:30:00,CMP-20640
SES-91179,Zachary Adams,Product Page,Whitepaper,No,Yes,2025-02-08 10:45:00,2025-02-10 06:00:00,CMP-20184
SES-91180,James Berry,Home,Datasheet,No,Yes,2025-01-17 05:30:00,2025-07-25 09:15:00,CMP-20796
SES-91181,Tiffany Murphy,Blog,Whitepaper,No,No,2025-05-28 21:00:00,2025-06-26 07:15:00,CMP-20978
SES-91182,Amanda Goodwin,Pricing,Blog Post,Yes,No,2025-07-31 23:15:00,2025-03-12 19:45:00,CMP-20520
SES-91183,Lisa Thomas,Home,Video Demo,Yes,Yes,2025-07-18 20:00:00,2025-06-10 13:30:00,CMP-20452
SES-91184,Suzanne May,Blog,Blog Post,Yes,No,2025-07-07 12:00:00,2025-07-14 16:30:00,CMP-20124
SES-91185,Christopher Floyd,Product Page,Case Study,No,No,2025-04-23 01:45:00,2025-06-10 05:15:00,CMP-20673
SES-91186,John Ross,Support,Video Demo,Yes,Yes,2025-02-15 19:00:00,2025-02-09 17:15:00,CMP-20272
SES-91187,Elaine Mckee,Home,Case Study,No,No,2025-02-10 01:15:00,2025-07-26 05:30:00,CMP-20900
SES-91188,Shannon Lewis,Product Page,Whitepaper,Yes,Yes,2025-06-14 08:00:00,2025-07-14 04:45:00,CMP-20797
SES-91189,Wayne Taylor,Pricing,Video Demo,No,Yes,2025-01-29 15:45:00,2025-03-08 00:00:00,CMP-20811
SES-91190,Carlos Copeland,Home,Whitepaper,Yes,No,2025-01-10 02:15:00,2025-01-08 23:00:00,CMP-20343
SES-91191,Denise Burgess,Home,Whitepaper,Yes,Yes,2025-02-21 22:00:00,2025-03-22 03:45:00,CMP-20905
SES-91192,Anna Gonzales,Support,Blog Post,Yes,Yes,2025-02-27 13:45:00,2025-05-15 23:30:00,CMP-20438
SES-91193,Jennifer Graham,Pricing,Datasheet,No,Yes,2025-03-16 04:00:00,2025-02-20 05:00:00,CMP-20877
SES-91194,George Baldwin,Home,Case Study,Yes,No,2025-01-27 06:15:00,2025-06-19 05:00:00,CMP-20452
SES-91195,Sherry Snyder,Blog,Case Study,No,Yes,2025-01-31 20:00:00,2025-04-26 04:30:00,CMP-20405
SES-91196,Daniel Meyer,Pricing,Blog Post,Yes,No,2025-07-18 14:45:00,2025-02-03 13:45:00,CMP-20087
SES-91197,Mario Shelton,Blog,Blog Post,Yes,Yes,2025-05-25 22:30:00,2025-02-18 13:45:00,CMP-20444
SES-91198,Amanda Williams,Blog,Video Demo,Yes,No,2025-03-18 18:00:00,2025-01-27 09:30:00,CMP-20861
SES-91199,James Williams,Pricing,Datasheet,Yes,Yes,2025-01-02 12:45:00,2025-08-03 14:15:00,CMP-20696
SES-91200,John Proctor,Pricing,Whitepaper,No,No,2025-03-24 16:45:00,2025-04-19 06:15:00,CMP-20031
SES-91201,Crystal Sharp,Blog,Whitepaper,Yes,Yes,2025-07-25 21:15:00,2025-05-22 05:45:00,CMP-20872
SES-91202,Amber Ross,Support,Video Demo,Yes,Yes,2025-02-20 07:30:00,2025-05-27 23:15:00,CMP-20102
SES-91203,Renee Thornton,Pricing,Case Study,Yes,No,2025-01-14 21:30:00,2025-03-20 22:15:00,CMP-20743
SES-91204,Ashley Henderson,Blog,Case Study,No,No,2025-02-06 17:00:00,2025-04-04 02:00:00,CMP-20020
SES-91205,David Leach,Blog,Video Demo,Yes,No,2025-05-13 20:00:00,2025-01-15 14:00:00,CMP-20512
SES-91206,Craig James,Blog,Datasheet,Yes,Yes,2025-08-18 13:15:00,2025-01-08 20:00:00,CMP-20192
SES-91207,Sierra Garcia,Product Page,Whitepaper,No,Yes,2025-06-14 09:45:00,2025-01-30 22:45:00,CMP-20576
SES-91208,Wanda Clark,Support,Datasheet,No,No,2025-08-21 06:30:00,2025-06-19 07:15:00,CMP-20787
SES-91209,Bryan Robertson,Home,Video Demo,Yes,Yes,2025-01-03 22:15:00,2025-06-15 08:45:00,CMP-20860
SES-91210,Michael Wilson,Pricing,Case Study,No,No,2025-05-16 01:30:00,2025-06-10 05:45:00,CMP-20014
SES-91211,Luis Tanner,Support,Video Demo,Yes,Yes,2025-01-16 13:30:00,2025-05-24 14:30:00,CMP-20576
SES-91212,Gabriella Turner,Blog,Blog Post,Yes,Yes,2025-07-30 08:00:00,2025-05-16 07:30:00,CMP-20913
SES-91213,Autumn Foster,Home,Datasheet,No,No,2025-07-31 01:45:00,2025-08-08 07:15:00,CMP-20411
SES-91214,Debbie Rocha,Support,Video Demo,No,Yes,2025-06-30 20:45:00,2025-03-05 17:00:00,CMP-20765
SES-91215,Christy Guzman,Pricing,Datasheet,No,Yes,2025-04-21 10:45:00,2025-01-03 16:30:00,CMP-20636
SES-91216,Christopher Cummings,Product Page,Blog Post,Yes,No,2025-07-17 20:45:00,2025-01-30 07:15:00,CMP-20499
SES-91217,Ryan Hill,Support,Blog Post,No,Yes,2025-02-13 10:45:00,2025-05-22 21:00:00,CMP-20290
SES-91218,Michelle English,Support,Case Study,No,No,2025-04-24 14:00:00,2025-08-17 22:00:00,CMP-20843
