Expense ID,Expense Type,Expense Date,Cost / Expense ($),Contact ID,Contact Name,Customer Name,Department,Payment Method,Invoice Number,Approval Status
EXP-50059,Travel,2025-07-12,15728,CUST-10897,Darlene Singleton,Hicks-Owen,Finance,Credit Card,INV-90059,Approved
EXP-50060,Software Subscription,2025-06-20,5233,CUST-10272,Charles Baker,Wu-Nguyen,Marketing,PayPal,INV-90060,Rejected
EXP-50061,Office Supplies,2025-07-21,14749,CUST-10457,Robert Vaughn,Garrett-Harrell,Marketing,Credit Card,INV-90061,Approved
EXP-50062,Office Supplies,2025-03-18,12806,CUST-10048,Alexandra Garcia,"Medina, Lucas and Johnson",Finance,Cheque,INV-90062,Approved
EXP-50063,Office Supplies,2025-03-06,8641,CUST-10535,Charles Patel,Perez PLC,IT,Bank Transfer,INV-90063,Pending
EXP-50064,Software Subscription,2025-06-30,19945,CUST-10431,Sara Zamora,Pierce Inc,Sales,Cheque,INV-90064,Approved
EXP-50065,Software Subscription,2025-06-05,16360,CUST-10564,Manuel Reese,"Turner, Butler and Morgan",Marketing,PayPal,INV-90065,Pending
EXP-50066,Event Sponsorship,2025-04-28,11531,CUST-10602,Chad Hernandez,"Gonzalez, Matthews and Hunter",Finance,Credit Card,INV-90066,Approved
EXP-50067,Software Subscription,2025-01-03,14738,CUST-10958,Brittany Sharp,"Ramirez, Lee and Rodriguez",Operations,PayPal,INV-90067,Rejected
EXP-50068,Software Subscription,2025-02-11,7848,CUST-10089,Kathy Shepherd,Buchanan and Sons,Marketing,Cheque,INV-90068,Approved
EXP-50069,Marketing,2025-07-03,18933,CUST-10527,Cassandra James,"Baldwin, Smith and Miller",IT,Cheque,INV-90069,Rejected
EXP-50070,Marketing,2025-07-04,148,CUST-10745,William Johnson,Dixon-Lewis,Operations,Cheque,INV-90070,Rejected
EXP-50071,Event Sponsorship,2025-08-18,15067,CUST-10339,Gabriel Thomas,Trujillo-Daniel,Sales,Credit Card,INV-90071,Rejected
EXP-50072,Event Sponsorship,2025-01-26,12548,CUST-10112,Sarah Barker,"Lopez, Campbell and Smith",Sales,Cheque,INV-90072,Rejected
EXP-50073,Software Subscription,2025-03-07,237,CUST-10104,Mia Garcia,Osborn Inc,Finance,PayPal,INV-90073,Rejected
EXP-50074,Travel,2025-01-25,11206,CUST-10179,Mary Mckay,Jacobson PLC,Marketing,Cheque,INV-90074,Rejected
EXP-50075,Marketing,2025-02-28,16549,CUST-10053,Kaitlyn Carpenter,Morris-Mcclain,IT,PayPal,INV-90075,Approved
EXP-50076,Travel,2025-08-30,10836,CUST-10440,Ashley Gutierrez,"Valdez, Pittman and Gordon",IT,Bank Transfer,INV-90076,Pending
EXP-50077,Travel,2025-03-08,4848,CUST-10188,Megan White,Riley-Berry,Operations,PayPal,INV-90077,Approved
EXP-50078,Travel,2025-08-30,2873,CUST-10304,Sabrina Oconnell,Barker-Fuentes,Sales,PayPal,INV-90078,Rejected
EXP-50079,Marketing,2025-02-07,727,CUST-10106,Derek Padilla,Reed-James,Finance,Credit Card,INV-90079,Rejected
EXP-50080,Software Subscription,2025-03-01,2404,CUST-10224,Charles Williamson,House-Ramirez,Sales,Credit Card,INV-90080,Rejected
EXP-50081,Office Supplies,2025-07-03,13881,CUST-10907,Teresa Meyer,Taylor-White,Marketing,Bank Transfer,INV-90081,Approved
EXP-50082,Event Sponsorship,2025-05-05,10727,CUST-10421,Kayla Roberts,Porter-Johnson,Operations,PayPal,INV-90082,Pending
EXP-50083,Travel,2025-05-22,316,CUST-10193,Elizabeth Stanley,Hamilton LLC,Sales,Credit Card,INV-90083,Pending
EXP-50084,Software Subscription,2025-03-11,4163,CUST-10057,Angela Cross,Bryant Group,Finance,Credit Card,INV-90084,Rejected
EXP-50085,Software Subscription,2025-02-06,18034,CUST-10985,Amanda Gray,"Campbell, Brown and Odonnell",IT,Bank Transfer,INV-90085,Approved
EXP-50086,Software Subscription,2025-02-25,14410,CUST-10933,Todd Lopez,Harvey PLC,IT,Bank Transfer,INV-90086,Approved
EXP-50087,Travel,2025-07-01,5077,CUST-10505,Bethany Murphy,"Goodwin, Williams and Kerr",Sales,Credit Card,INV-90087,Rejected
EXP-50088,Software Subscription,2025-05-09,2755,CUST-10738,Melissa Phillips,Rodgers LLC,Marketing,Cheque,INV-90088,Approved
EXP-50089,Event Sponsorship,2025-04-07,4809,CUST-10413,Karen Conrad,"Taylor, Hickman and Gomez",Marketing,Bank Transfer,INV-90089,Approved
EXP-50090,Travel,2025-01-17,1941,CUST-10626,Jesse Rangel,Brown LLC,Finance,Bank Transfer,INV-90090,Approved
EXP-50091,Software Subscription,2025-05-25,18083,CUST-10767,Vincent Townsend,"Douglas, Hill and Hancock",Finance,PayPal,INV-90091,Pending
EXP-50092,Marketing,2025-03-10,8851,CUST-10515,Adrian Perez,"Rosario, Reeves and Velez",Marketing,Cheque,INV-90092,Pending
EXP-50093,Office Supplies,2025-07-27,9842,CUST-10749,Heather Beck,"Reeves, Harris and White",IT,Direct Debit,INV-90093,Rejected
EXP-50094,Travel,2025-02-20,19696,CUST-10898,Keith Gill,Wolf Group,Operations,Credit Card,INV-90094,Approved
EXP-50095,Marketing,2025-05-13,9269,CUST-10382,Charles Garcia,Christensen-Fisher,IT,Direct Debit,INV-90095,Pending
EXP-50096,Office Supplies,2025-05-12,8821,CUST-10028,Chelsea Reyes,Monroe Ltd,IT,Bank Transfer,INV-90096,Rejected
EXP-50097,Software Subscription,2025-02-24,14358,CUST-10399,Kim Long,"Kelley, Snow and Elliott",IT,Credit Card,INV-90097,Pending
EXP-50098,Software Subscription,2025-04-12,4622,CUST-10151,Linda Vaughn,Anderson-Moss,Operations,PayPal,INV-90098,Rejected
EXP-50099,Office Supplies,2025-08-26,6869,CUST-10618,Jesus Haynes,"Baker, Ross and Singh",IT,Direct Debit,INV-90099,Pending
EXP-50100,Travel,2025-04-21,13037,CUST-10945,Jordan Murray,Bennett-Costa,Sales,Credit Card,INV-90100,Rejected
EXP-50101,Travel,2025-03-22,15715,CUST-10093,Todd Dawson,Browning-Brooks,Marketing,Cheque,INV-90101,Approved
EXP-50102,Travel,2025-06-12,14567,CUST-10347,Tiffany Clark,"Wilkinson, Lane and Fields",Operations,PayPal,INV-90102,Approved
EXP-50103,Marketing,2025-05-27,18266,CUST-10337,Brandon Conner,Ellison-Coleman,Marketing,Cheque,INV-90103,Rejected
EXP-50104,Travel,2025-05-18,10225,CUST-10018,Scott Colon,Bennett-Flores,IT,Bank Transfer,INV-90104,Pending
EXP-50105,Event Sponsorship,2025-02-28,2986,CUST-10649,Tammy Novak,Underwood Group,Operations,Credit Card,INV-90105,Rejected
EXP-50106,Office Supplies,2025-04-19,9184,CUST-10424,Christopher Gonzalez,"Perez, Mccoy and Ramirez",Finance,Direct Debit,INV-90106,Approved
EXP-50107,Event Sponsorship,2025-02-20,18305,CUST-10634,Hailey Clark,Tanner-Brown,Finance,Credit Card,INV-90107,Rejected
EXP-50108,Office Supplies,2025-01-25,11873,CUST-10329,Billy Simmons,Hernandez Ltd,Operations,Bank Transfer,INV-90108,Rejected
EXP-50109,Travel,2025-04-13,9356,CUST-10195,Jane Mueller,"Hardy, Sanchez and Manning",Marketing,PayPal,INV-90109,Pending
EXP-50110,Office Supplies,2025-07-17,14513,CUST-10073,Laurie Greer,Burke Group,Sales,Bank Transfer,INV-90110,Approved
EXP-50111,Office Supplies,2025-02-25,15952,CUST-10166,Dawn Ramsey,Ellison-Coleman,Operations,Direct Debit,INV-90111,Rejected
EXP-50112,Office Supplies,2025-05-03,426,CUST-10621,Nathan Burke,"Leonard, Smith and Davis",IT,PayPal,INV-90112,Pending
EXP-50113,Software Subscription,2025-06-21,8318,CUST-10777,John Robertson,Douglas PLC,Finance,Bank Transfer,INV-90113,Approved
EXP-50114,Software Subscription,2025-03-17,17049,CUST-10106,Daniel Clark Jr.,Green LLC,Sales,PayPal,INV-90114,Rejected
EXP-50115,Software Subscription,2025-05-19,13812,CUST-10025,Paula Kennedy,Suarez LLC,IT,Bank Transfer,INV-90115,Approved
EXP-50116,Travel,2025-07-13,4138,CUST-10009,Angela Tran,Brennan-Brown,Sales,Cheque,INV-90116,Pending
EXP-50117,Software Subscription,2025-06-05,8026,CUST-10906,Dr. Antonio Thompson,Heath-Hurst,IT,Credit Card,INV-90117,Pending
EXP-50118,Office Supplies,2025-03-01,758,CUST-10364,Victor Taylor,Dorsey-Edwards,Marketing,Direct Debit,INV-90118,Approved
EXP-50119,Travel,2025-03-15,11243,CUST-10614,Christopher Harris,Edwards-Day,Marketing,Bank Transfer,INV-90119,Approved
EXP-50120,Travel,2025-07-04,14733,CUST-10768,Danny Armstrong,Cobb-Marsh,Sales,Direct Debit,INV-90120,Pending
EXP-50121,Software Subscription,2025-07-31,6245,CUST-10857,David Jones,"Wilkins, Odom and Harvey",Finance,Bank Transfer,INV-90121,Rejected
EXP-50122,Software Subscription,2025-04-17,4299,CUST-10108,Anna Sullivan,"Fox, Johns and Deleon",IT,Credit Card,INV-90122,Approved
EXP-50123,Software Subscription,2025-02-02,7955,CUST-10478,Shannon Glenn,Benson Group,Operations,Credit Card,INV-90123,Pending
EXP-50124,Office Supplies,2025-04-29,4153,CUST-10943,April Richardson,Gutierrez LLC,Marketing,Direct Debit,INV-90124,Approved
EXP-50125,Software Subscription,2025-07-04,5899,CUST-10391,Raymond Tran,"Clay, Schroeder and Rojas",Operations,Cheque,INV-90125,Pending
EXP-50126,Marketing,2025-07-26,2550,CUST-10859,Laura Maldonado,Clarke-Vaughan,Sales,Direct Debit,INV-90126,Pending
EXP-50127,Software Subscription,2025-08-29,7240,CUST-10509,David Campbell,Sandoval Group,Finance,Bank Transfer,INV-90127,Rejected
EXP-50128,Travel,2025-06-10,12335,CUST-10231,Jenny Gonzalez,Bryant Group,IT,Cheque,INV-90128,Rejected
EXP-50129,Software Subscription,2025-05-19,139,CUST-10674,Jaime Williams,Kelly Group,Marketing,PayPal,INV-90129,Approved
EXP-50130,Marketing,2025-08-31,6378,CUST-10215,Ryan Hill,"Andrews, Roberts and King",Operations,Bank Transfer,INV-90130,Pending
EXP-50131,Travel,2025-06-14,18075,CUST-10814,Barbara Morrison,"Williams, White and Boyd",Sales,Bank Transfer,INV-90131,Rejected
EXP-50132,Travel,2025-01-04,15010,CUST-10887,Laurie Martinez,Lee-Mueller,IT,Cheque,INV-90132,Pending
EXP-50133,Marketing,2025-04-12,18080,CUST-10346,Dustin Gray,Ray Inc,Sales,Cheque,INV-90133,Pending
EXP-50134,Event Sponsorship,2025-05-28,16911,CUST-10954,Barbara Reese,Hernandez Ltd,Operations,PayPal,INV-90134,Approved
EXP-50135,Travel,2025-05-06,994,CUST-10610,Michael Tapia,Allen-Miller,Marketing,Cheque,INV-90135,Rejected
EXP-50136,Event Sponsorship,2025-04-15,19887,CUST-10227,Austin Moss,Cantrell-Martinez,IT,PayPal,INV-90136,Rejected
EXP-50137,Marketing,2025-01-09,3199,CUST-10119,Anna Todd,"Wiley, Perez and Ruiz",Sales,PayPal,INV-90137,Rejected
EXP-50138,Travel,2025-01-29,15995,CUST-10451,Nicole Bell,"Wright, Obrien and Mcdowell",Finance,PayPal,INV-90138,Pending
EXP-50139,Event Sponsorship,2025-04-25,18453,CUST-10299,Angela Ortega,Powell-Benitez,Sales,PayPal,INV-90139,Approved
EXP-50140,Office Supplies,2025-05-31,9961,CUST-10026,Christian Baker,Rogers LLC,Operations,Cheque,INV-90140,Rejected
EXP-50141,Office Supplies,2025-03-08,7302,CUST-10561,Deborah Riley,Townsend-Gould,Operations,Cheque,INV-90141,Pending
EXP-50142,Travel,2025-03-21,7538,CUST-10921,James Vaughan,Davis Inc,Operations,Credit Card,INV-90142,Pending
EXP-50143,Office Supplies,2025-03-27,996,CUST-10602,Crystal Castillo,House-Ramirez,IT,Cheque,INV-90143,Pending
EXP-50144,Office Supplies,2025-08-08,2411,CUST-10656,Christopher Cook,Simmons Ltd,Sales,Bank Transfer,INV-90144,Pending
EXP-50145,Event Sponsorship,2025-07-31,4566,CUST-10745,Jamie Holloway,"Morris, Cole and Flowers",Finance,Cheque,INV-90145,Pending
EXP-50146,Travel,2025-06-09,10267,CUST-10250,Amy Anderson DDS,"Hughes, Mills and Sullivan",IT,Bank Transfer,INV-90146,Pending
EXP-50147,Travel,2025-02-19,786,CUST-10974,Melinda Gilbert,Browning-Brooks,Marketing,Direct Debit,INV-90147,Pending
EXP-50148,Travel,2025-03-26,6258,CUST-10733,Michael Ellis,Johnson-Nelson,Sales,PayPal,INV-90148,Pending
EXP-50149,Event Sponsorship,2025-01-11,15532,CUST-10800,Michael Baldwin,Simpson-Peterson,Finance,Cheque,INV-90149,Rejected
EXP-50150,Travel,2025-02-20,1107,CUST-10939,Glenn Hernandez,Alvarez Inc,Marketing,Bank Transfer,INV-90150,Pending
EXP-50151,Software Subscription,2025-07-16,15856,CUST-10666,Matthew Hendricks,"Lewis, Morse and Nielsen",Sales,Bank Transfer,INV-90151,Pending
EXP-50152,Marketing,2025-01-11,19693,CUST-10048,Kimberly Rodriguez,Watkins Ltd,Marketing,PayPal,INV-90152,Rejected
EXP-50153,Software Subscription,2025-03-07,19760,CUST-10707,David Hawkins,Caldwell Ltd,Sales,Direct Debit,INV-90153,Rejected
EXP-50154,Marketing,2025-01-28,577,CUST-10492,Cynthia Smith,"Brown, Anderson and Gonzales",Operations,Credit Card,INV-90154,Rejected
EXP-50155,Software Subscription,2025-03-02,10936,CUST-10137,Lisa Hammond,Carter and Sons,Operations,Bank Transfer,INV-90155,Approved
EXP-50156,Software Subscription,2025-01-07,11349,CUST-10512,Teresa Moore,"Anderson, Wilson and Fitzpatrick",Finance,PayPal,INV-90156,Approved
EXP-50157,Event Sponsorship,2025-02-12,16596,CUST-10548,William Wright,"Crawford, Fernandez and Williams",Sales,PayPal,INV-90157,Pending
EXP-50158,Event Sponsorship,2025-08-24,7596,CUST-10916,Ariel Gallagher,"Adams, Johnson and Davis",Sales,Direct Debit,INV-90158,Approved
EXP-50159,Travel,2025-06-16,4889,CUST-10857,Diamond Wilkins,Monroe Ltd,Finance,PayPal,INV-90159,Pending
EXP-50160,Travel,2025-08-04,119,CUST-10619,Christine Adams,"Martin, Stevenson and Meadows",Marketing,Bank Transfer,INV-90160,Pending
EXP-50161,Travel,2025-01-30,9083,CUST-10094,Michael Davis,Flores-Townsend,Sales,Cheque,INV-90161,Pending
EXP-50162,Event Sponsorship,2025-05-15,1215,CUST-10752,Anthony Crawford,"Hughes, Watts and Arnold",Marketing,Direct Debit,INV-90162,Rejected
EXP-50163,Office Supplies,2025-03-20,3439,CUST-10552,Jeanne Carrillo,Dixon and Sons,Finance,Cheque,INV-90163,Rejected
EXP-50164,Office Supplies,2025-05-03,11048,CUST-10636,William Whitaker,Haney Inc,Operations,Cheque,INV-90164,Pending
EXP-50165,Marketing,2025-04-05,8790,CUST-10433,Christina Bridges,Simpson-Ray,Operations,Direct Debit,INV-90165,Approved
EXP-50166,Travel,2025-01-20,4587,CUST-10975,Alexis Watson,Green Inc,Marketing,Cheque,INV-90166,Pending
EXP-50167,Marketing,2025-07-23,14872,CUST-10850,Andre Lynch,Booth-Morris,Operations,PayPal,INV-90167,Pending
EXP-50168,Travel,2025-07-04,6012,CUST-10841,Mario Gardner,Carr-Alvarado,Finance,Credit Card,INV-90168,Approved
EXP-50169,Marketing,2025-05-01,10454,CUST-10205,Mason Boone,Martinez-Clark,IT,Credit Card,INV-90169,Pending
EXP-50170,Marketing,2025-07-03,16000,CUST-10122,Jesse Whitaker,Berry-Bates,Finance,Credit Card,INV-90170,Approved
EXP-50171,Event Sponsorship,2025-06-09,16372,CUST-10957,Michael Black,Carter Inc,Marketing,Direct Debit,INV-90171,Rejected
EXP-50172,Marketing,2025-05-28,3689,CUST-10386,Rick Bailey,"Montoya, Wilson and Jones",IT,Credit Card,INV-90172,Rejected
EXP-50173,Travel,2025-02-25,9795,CUST-10684,Jennifer Petersen,"Clay, Schroeder and Rojas",Finance,Bank Transfer,INV-90173,Rejected
EXP-50174,Marketing,2025-01-07,1046,CUST-10328,James Tyler,Gilbert-Smith,Marketing,Bank Transfer,INV-90174,Rejected
EXP-50175,Software Subscription,2025-05-10,14668,CUST-10166,Christopher Munoz,Carter Inc,IT,Bank Transfer,INV-90175,Pending
EXP-50176,Marketing,2025-03-13,3500,CUST-10233,Mark Vaughan,Anderson Inc,Finance,Direct Debit,INV-90176,Approved
EXP-50177,Travel,2025-02-21,5443,CUST-10527,Martha Coleman,"Lopez, Bowen and Brown",Marketing,Bank Transfer,INV-90177,Pending
EXP-50178,Event Sponsorship,2025-05-21,10512,CUST-10492,Steven Hammond,Kirby-Ford,IT,PayPal,INV-90178,Pending
EXP-50179,Marketing,2025-07-03,9357,CUST-10510,Emily Clark,"Campos, Soto and Williams",Finance,Bank Transfer,INV-90179,Pending
EXP-50180,Marketing,2025-06-25,3312,CUST-10486,Robert Miller,"Clark, Lozano and Jimenez",Marketing,PayPal,INV-90180,Pending
EXP-50181,Software Subscription,2025-04-21,19399,CUST-10594,Shawn King DVM,Soto LLC,Operations,Bank Transfer,INV-90181,Approved
EXP-50182,Software Subscription,2025-05-10,8295,CUST-10777,Wendy Harris,"Bush, Carter and Ramsey",Operations,Credit Card,INV-90182,Pending
EXP-50183,Marketing,2025-08-19,13921,CUST-10664,Darrell Owen,"Bowman, Davis and Cox",Sales,Bank Transfer,INV-90183,Pending
EXP-50184,Marketing,2025-02-03,4275,CUST-10442,Charles Nelson,Jordan-Hamilton,Sales,Credit Card,INV-90184,Approved
EXP-50185,Office Supplies,2025-05-11,2062,CUST-10469,Monica Morgan,Cox-Owen,Operations,Credit Card,INV-90185,Rejected
EXP-50186,Travel,2025-07-25,8618,CUST-10109,Richard Ramsey,Morales Inc,Sales,Credit Card,INV-90186,Pending
EXP-50187,Software Subscription,2025-01-17,2091,CUST-10453,Nichole Trujillo,Sampson Group,IT,Direct Debit,INV-90187,Approved
EXP-50188,Software Subscription,2025-08-08,10133,CUST-10120,Joseph Villarreal,White-Palmer,Marketing,Cheque,INV-90188,Approved
EXP-50189,Event Sponsorship,2025-07-01,17256,CUST-10081,Sharon Lindsey,Christensen-Fisher,IT,Bank Transfer,INV-90189,Approved
EXP-50190,Software Subscription,2025-04-09,19953,CUST-10636,Stacey Santana,"Peterson, Wright and Hamilton",Operations,Cheque,INV-90190,Rejected
EXP-50191,Event Sponsorship,2025-04-22,17051,CUST-10483,Victoria Vargas,"Richards, Ortega and David",Operations,PayPal,INV-90191,Pending
EXP-50192,Office Supplies,2025-01-08,1381,CUST-10421,Valerie Brown,"Bush, Carter and Ramsey",Operations,PayPal,INV-90192,Rejected
EXP-50193,Event Sponsorship,2025-02-16,11565,CUST-10847,Debbie Andrews,"Benson, Bright and Sandoval",Finance,Direct Debit,INV-90193,Pending
EXP-50194,Software Subscription,2025-04-20,17363,CUST-10742,Benjamin York,"Waller, Stephens and Alvarez",Marketing,Credit Card,INV-90194,Rejected
EXP-50195,Marketing,2025-06-06,14596,CUST-10444,Jane Henson,Fisher LLC,Marketing,Cheque,INV-90195,Rejected
EXP-50196,Travel,2025-08-04,1078,CUST-10766,Jason Pratt,"Allen, Johnson and Bates",IT,Credit Card,INV-90196,Rejected
EXP-50197,Event Sponsorship,2025-02-11,13036,CUST-10200,John Chang,Jordan-Hamilton,Finance,PayPal,INV-90197,Approved
EXP-50198,Marketing,2025-08-07,6406,CUST-10559,Michelle Taylor,"Cox, Bradford and Trevino",Sales,PayPal,INV-90198,Approved
